province,district,constituency,candidate,gender,party,symbol,votes,rank,remarks
बागमती प्रदेश,रामेछाप,1,पुर्ण वहादुर तमाङ्ग,पुरुष,नेपाली काँग्रेस,रुख,47099,1,Elected
बागमती प्रदेश,चितवन,2,रबि लामिछाने,पुरुष,राष्ट्रिय स्वतन्त्र पार्टी,गोलाकार भित्र घण्टी,49300,1,Elected
कोशी प्रदेश,मोरङ्ग,3,शुनिल कुमार शर्मा,पुरुष,नेपाली काँग्रेस,रुख,48631,1,Elected
मधेश प्रदेश,रौतहट,4,देव प्रसाद तिमलसेना,पुरुष,नेपाली काँग्रेस,रुख,34161,1,Elected
कोशी प्रदेश,झापा,5,के.पी शर्मा ओली,पुरुष,नेपाल कम्युनिष्ट पार्टी (एमाले),सूर्य,52319,1,Elected
कोशी प्रदेश,मोरङ्ग,6,डा शेखर कोइराला,पुरुष,नेपाली काँग्रेस,रुख,35224,1,Elected
बागमती प्रदेश,काठमाडौं,7,गणेश पराजुली,पुरुष,राष्ट्रिय स्वतन्त्र पार्टी,गोलाकार भित्र घण्टी,8743,1,Elected
बागमती प्रदेश,काठमाडौं,8,विराज भक्त श्रेष्ठ,पुरुष,राष्ट्रिय स्वतन्त्र पार्टी,गोलाकार भित्र घण्टी,10112,1,Elected
बागमती प्रदेश,काठमाडौं,9,कृष्ण गोपाल श्रेष्ठ,पुरुष,नेपाल कम्युनिष्ट पार्टी (एमाले),सूर्य,11956,1,Elected
बागमती प्रदेश,काठमाडौं,10,राजेन्द्र कुमार के.सी.,पुरुष,नेपाली काँग्रेस,रुख,14463,1,Elected
